DATAFLOW,LAST UPDATE,freq,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2017,36.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2018,37.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2019,37.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2013,33.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2014,35.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2015,30.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2016,40.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2017,43.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2018,52.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HR,2019,52.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2005,45.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2006,40,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2007,47.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2008,48.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2009,39.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2010,33.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2011,39.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2012,41.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2013,43.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2014,43.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2015,36.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2016,42.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2017,42.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2018,37.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,HU,2019,40.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2005,32.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2006,32.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2007,27.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2008,26.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2009,30,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2010,33.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2011,32.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2012,38.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2013,42.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2014,37.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2015,38.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2016,41,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2017,41.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2018,44.8,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IE,2019,40,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2005,39.2,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2006,36.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2007,37.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2008,30.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2009,32.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2010,33.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2011,33.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2012,35.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2013,34.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2014,34.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,IT,2015,35.8,
