Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1977","1977","kg/ha","10.84","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1978","1978","kg/ha","7.89","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1979","1979","kg/ha","6.6","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1980","1980","kg/ha","5.56","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1981","1981","kg/ha","4.11","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1982","1982","kg/ha","8.74","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1983","1983","kg/ha","6.62","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1984","1984","kg/ha","1.4","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1985","1985","kg/ha","1.54","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1986","1986","kg/ha","4.63","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1987","1987","kg/ha","3.08","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1988","1988","kg/ha","3.08","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1989","1989","kg/ha","3.25","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1990","1990","kg/ha","4.26","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1991","1991","kg/ha","1.85","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1993","1993","kg/ha","1.57","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1998","1998","kg/ha","0.14","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1999","1999","kg/ha","0.14","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2000","2000","kg/ha","2.43","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2001","2001","kg/ha","2.15","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2002","2002","kg/ha","0","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2003","2003","kg/ha","0","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2004","2004","kg/ha","0.16","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2005","2005","kg/ha","0.17","Fc","Calculated data"
